"Time Step","Softwood Merchantable","Hardwood Merchantable","Softwood Submerchantable","Hardwood Submerchantable","Softwood Other","Hardwood Other","Softwood Foliage","Hardwood Foliage","Softwood Fine Roots","Hardwood Fine Roots","Softwood Coarse Roots","Hardwood Coarse Roots","Aboveground Very Fast DOM","Belowground Very Fast DOM","Aboveground Fast DOM","Belowground Fast DOM","Medium DOM","Aboveground Slow DOM","Belowground Slow DOM","Softwood Stem Snag","Softwood Branch Snag","Hardwood Stem Snag","Hardwood Branch Snag",
0,0,0,0,0,0,0,0,0,0,0,0,0,0.951478004455566,2.07321095466614,9.3855447769165,7.0673451423645,12.7447700500488,29.415319442749,95.6777877807617,0,0,36.9082794189453,11.6655597686768,
1,0,0.01485012751,0,0,0,0.01452842169,0,0.07925952226,0,0.1273055971,0,0.1808631718,0.78613269329071,1.34567201137543,9.4711971282959,6.34353923797607,13.5537061691284,29.4195728302002,95.7891540527344,0,0,35.2498970031738,9.96083927154541,
2,0,0.06595888734,0,0,0,0.1272580922,0,0.1741298586,0,0.2602859437,0,0.3916149437,0.754265606403351,0.904854893684387,9.39854431152344,5.69570302963257,14.2893753051758,29.4073524475098,95.8460235595703,0,0,33.6661911010742,8.5058479309082,
3,0,0.1576344669,0,0,0,0.3161668479,0,0.2735943496,0,0.3889679909,0,0.6200368404,0.833985149860382,0.648470520973206,9.20879173278809,5.11626052856445,14.9560613632202,29.3842277526855,95.8672103881836,0,0,32.1540031433105,7.26491832733154,
4,0,0.2921799421,0,0,0,0.5675289631,0,0.3746144474,0,0.511049211,0,0.8626399636,1.00151336193085,0.509507954120636,8.93516540527344,4.5983419418335,15.5578355789185,29.3548221588135,95.8650360107422,0,0,30.710319519043,6.20742464065552,
5,0,0.4710055292,0,0,0,0.8709064126,0,0.4756048024,0,0.6256247759,0,1.117140532,1.23622345924377,0.444565415382385,8.60438537597656,4.13575649261475,16.0985660552979,29.3229084014893,95.8476104736328,0,0,29.3322772979736,5.30710363388062,
6,0,0.6949220896,0,0,0,1.217594385,0,0.5755882859,0,0.7323860526,0,1.381681681,1.52095401287079,0.425621420145035,8.23779964447021,3.72292900085449,16.5819282531738,29.2915267944336,95.8202743530273,0,0,28.0171489715576,4.54143810272217,
7,0,0.9642686844,0,0,0,1.59998548,0,0.6739138961,0,0.8313423395,0,1.65461576,1.84170138835907,0.434634238481522,7.85231113433838,3.35484075546265,17.0114135742188,29.2631053924561,95.7865753173828,0,0,26.7623310089111,3.89112377166748,
8,0,1.278980732,0,0,0,2.011261225,0,0.7701304555,0,0.9226896763,0,1.9344251159999999,2.18717861175537,0.460028678178787,7.46114778518677,3.02697324752808,17.3903408050537,29.2395610809326,95.748893737793,0,0,25.5653381347656,3.33961057662964,
9,0,1.638633013,0,0,0,2.445227861,0,0.863920331,0,1.006737947,0,2.219691277,2.54837512969971,0.494416892528534,7.07450819015503,2.73525762557983,17.7218627929688,29.22239112854,95.7088241577148,0,0,24.4237937927246,2.87270450592041,
10,0,2.042470455,0,0,0,2.896224976,0,0.955060184,0,1.083865166,0,2.509082079,2.91816020011902,0.533121228218079,6.7000994682312,2.47603058815002,18.0089721679688,29.2127513885498,95.6674652099609,0,0,23.3354263305664,2.4782292842865,
11,0,2.489431858,0,0,0,3.359069586,0,1.043395996,0,1.154487848,0,2.801345825,3.29094076156616,0.57321685552597,6.34358835220337,2.2459921836853,18.2545127868652,29.2115097045898,95.6255569458008,0,0,22.298059463501,2.1457371711731,
12,0,2.978172064,0,0,0,3.829025745,0,1.128826261,0,1.219040632,0,3.09531045,3.66237258911133,0.612911581993103,6.00897836685181,2.04217028617859,18.461181640625,29.219295501709,95.5836181640625,0,0,21.3096141815186,1.86626005172729,
13,0,3.507082224,0,0,0,4.301781654,0,1.211290121,0,1.277961254,0,3.389882088,4.0291223526001,0.651143312454224,5.69892549514771,1.8618870973587,18.6315441131592,29.2365493774414,95.5420303344727,0,0,20.3680934906006,1.6320972442627,
14,0,4.074309826,0,0,0,4.773436546,0,1.290758014,0,1.331680775,0,3.684042931,4.38866853713989,0.687318861484528,5.41500282287598,1.70273041725159,18.768030166626,29.2635498046875,95.5010757446289,0,0,19.4715824127197,1.43663465976715,
