"Time Step","Softwood Merchantable","Hardwood Merchantable","Softwood Submerchantable","Hardwood Submerchantable","Softwood Other","Hardwood Other","Softwood Foliage","Hardwood Foliage","Softwood Fine Roots","Hardwood Fine Roots","Softwood Coarse Roots","Hardwood Coarse Roots","Aboveground Very Fast DOM","Belowground Very Fast DOM","Aboveground Fast DOM","Belowground Fast DOM","Medium DOM","Aboveground Slow DOM","Belowground Slow DOM","Softwood Stem Snag","Softwood Branch Snag","Hardwood Stem Snag","Hardwood Branch Snag",
0,0,0,0,0,0,0,0,0,0,0,0,0,0.594204008579254,1.17168605327606,9.82091808319092,8.44430065155029,7.87483406066895,12.0375299453735,74.2224884033203,0,0,53.3287391662598,19.3466491699219,
1,0,0.08325731009,0,0,0,0.1512106359,0,0.025848776100000002,0,0.2132083178,0,0.3142564297,0.199428454041481,0.239880442619324,9.05584812164307,6.50410652160645,9.00723934173584,12.8157682418823,74.5475997924805,0,0,50.0758857727051,15.4110832214355,
2,0,0.3007141352,0,0,0,0.4517750144,0,0.06771206856,0,0.4094663262,0,0.6589012742,0.106976360082626,0.0675694197416306,8.17135334014893,5.01251363754272,9.97393608093262,13.4148645401001,74.6822280883789,0,0,47.0224380493164,12.2782402038574,
3,0,0.6359676123,0,0,0,0.8456308842,0,0.1181796417,0,0.5857871175,0,1.025438786,0.11043506860733,0.0451688356697559,7.25971269607544,3.86658716201782,10.7908525466919,13.890664100647,74.7460327148438,0,0,44.157054901123,9.78587245941162,
4,0,1.079577804,0,0,0,1.308072925,0,0.1745310724,0,0.7429884672,0,1.409569144,0.143943935632706,0.0513448901474476,6.37851095199585,2.98700737953186,11.4726219177246,14.2712049484253,74.7716445922852,0,0,41.468994140625,7.80438756942749,
5,0,1.623882055,0,0,0,1.822747946,0,0.235097304,0,0.8824876547,0,1.807692885,0.186463534832001,0.0620318800210953,5.56160974502563,2.31266140937805,12.032675743103,14.5747814178467,74.7721786499023,0,0,38.9481163024902,6.23037576675415,
6,0,2.261897802,0,0,0,2.377316952,0,0.2986863852,0,1.005870342,0,2.216594934,0.231171265244484,0.0725381374359131,4.82676553726196,1.79645955562592,12.4833364486694,14.815544128418,74.7552261352539,0,0,36.5848541259766,4.98134088516235,
7,0,2.986918211,0,0,0,2.961850166,0,0.3643805385,0,1.114734888,0,2.633363485,0.275790154933929,0.0820318534970284,4.18101692199707,1.40211546421051,12.8359003067017,15.0052652359009,74.7260055541992,0,0,34.3701858520508,3.99147319793701,
8,0,3.792336702,0,0,0,3.568071365,0,0.4314426482,0,1.210620165,0,3.055358171,0.319523274898529,0.0904475674033165,3.62448620796204,1.10166347026825,13.100715637207,15.1539430618286,74.6883163452148,0,0,32.2955894470215,3.20827174186707,
9,0,4.671571255,0,0,0,4.188948154,0,0.4992655814,0,1.294970751,0,3.480191946,0.3620725274086,0.0978673696517944,3.15302729606628,0.873548209667206,13.2872543334961,15.2700729370117,74.6449813842773,0,0,30.3530216217041,2.58984899520874,
10,0,5.618037701,0,0,0,4.818446159,0,0.5673416257,0,1.369118571,0,3.905718327,0.403318822383881,0.10439608246088,2.76005363464355,0.701152503490448,13.4041776657104,15.3608236312866,74.5980758666992,0,0,28.5348854064941,2.10278296470642,
11,0,6.625148773,0,0,0,5.451367378,0,0.6352427602,0,1.434277773,0,4.33001709,0.443213790655136,0.11013574898243,2.43777370452881,0.571663975715637,13.4594011306763,15.4321880340576,74.5491180419922,0,0,26.8340072631836,1.72040092945099,
12,0,7.686330318,0,0,0,6.083236694,0,0.7026064396,0,1.491543531,0,4.751379013,0.481740534305573,0.115180268883705,2.17800760269165,0.475201994180679,13.4601488113403,15.4891338348389,74.4992294311523,0,0,25.2436046600342,1.42141461372375,
13,0,8.795043945,0,0,0,6.71021843,0,0.7691258192,0,1.541897535,0,5.16829586,0.518898606300354,0.119614541530609,1.97270810604095,0.404145061969757,13.4130086898804,15.5357322692871,74.44921875,0,0,23.7572708129883,1.18883013725281,
14,0,9.944815636,0,0,0,7.329048157,0,0.8345416784,0,1.586212397,0,5.579444885,0.554696440696716,0.12351456284523,1.81427657604218,0.352613061666489,13.3239803314209,15.5752868652344,74.3996658325195,0,0,22.3689441680908,1.0090799331665,
15,0,11.12926865,0,0,0,7.936976433,0,0.8986362815,0,1.625260949,0,5.983671665,0.589148342609406,0.126947909593582,1.69573748111725,0.316068202257156,13.1985216140747,15.6104469299316,74.3509826660156,0,0,21.0728931427002,0.871330082416534,
16,0,12.34215355,0,0,0,8.531720161,0,0.9612283111,0,1.659723639,0,6.379981518,0.622272312641144,0.129974335432053,1.6108181476593,0.291007697582245,13.0415925979614,15.6433115005493,74.3034591674805,0,0,19.8636913299561,0.766928672790527,
